"target","Predicted_classes"
"insecta-ant-colony2-day35","Spatial"
"insecta-ant-colony2-day36","Spatial"
"insecta-ant-colony2-day37","Spatial"
"insecta-ant-colony2-day38","Spatial"
"insecta-ant-colony2-day39","Spatial"
"insecta-ant-colony2-day40","Spatial"
"insecta-ant-colony2-day41","Spatial"
"insecta-ant-colony2","ER"
"insecta-ant-colony3-day01","ER"
"insecta-ant-colony3-day02","Spatial"
"insecta-ant-colony3-day03","Spatial"
"insecta-ant-colony3-day04","Spatial"
"insecta-ant-colony3-day05","Spatial"
"insecta-ant-colony3-day06","Spatial"
"insecta-ant-colony3-day07","Spatial"
"insecta-ant-colony3-day08","Spatial"
"insecta-ant-colony3-day09","Spatial"
"insecta-ant-colony3-day10","Spatial"
"insecta-ant-colony3-day11","Spatial"
"insecta-ant-colony3-day12","Spatial"
"insecta-ant-colony3-day13","Spatial"
"insecta-ant-colony3-day14","Spatial"
"insecta-ant-colony3-day15","Spatial"
"insecta-ant-colony3-day16","Spatial"
"insecta-ant-colony3-day17","Spatial"
"insecta-ant-colony3-day18","Spatial"
"insecta-ant-colony3-day19","Spatial"
"insecta-ant-colony3-day20","Spatial"
"insecta-ant-colony3-day21","Spatial"
"insecta-ant-colony3-day22","Spatial"
"insecta-ant-colony3-day23","Spatial"
"insecta-ant-colony3-day24","Spatial"
"insecta-ant-colony3-day25","Spatial"
"insecta-ant-colony3-day26","Spatial"
"insecta-ant-colony3-day27","Spatial"
"insecta-ant-colony3-day28","Spatial"
"insecta-ant-colony3-day29","Spatial"
"insecta-ant-colony3-day30","Spatial"
"insecta-ant-colony3-day31","Spatial"
"insecta-ant-colony3-day32","Spatial"
"insecta-ant-colony3-day33","Spatial"
"insecta-ant-colony3-day34","Spatial"
"insecta-ant-colony3-day35","Spatial"
"insecta-ant-colony3-day36","Spatial"
"insecta-ant-colony3-day37","Spatial"
"insecta-ant-colony3-day38","Spatial"
"insecta-ant-colony3-day39","Spatial"
"insecta-ant-colony3-day40","Spatial"
"insecta-ant-colony3-day41","Spatial"
"insecta-ant-colony3","ER"
"insecta-ant-colony4-day01","Spatial"
"insecta-ant-colony4-day02","Spatial"
"insecta-ant-colony4-day03","Spatial"
"insecta-ant-colony4-day04","Spatial"
"insecta-ant-colony4-day05","Spatial"
"insecta-ant-colony4-day06","Spatial"
"insecta-ant-colony4-day07","Spatial"
"insecta-ant-colony4-day08","Spatial"
"insecta-ant-colony4-day09","Spatial"
"insecta-ant-colony4-day10","Spatial"
"insecta-ant-colony4-day11","Spatial"
"insecta-ant-colony4-day12","Spatial"
"insecta-ant-colony4-day13","Spatial"
"insecta-ant-colony4-day14","Spatial"
"insecta-ant-colony4-day15","Spatial"
"insecta-ant-colony4-day16","Spatial"
"insecta-ant-colony4-day17","Spatial"
"insecta-ant-colony4-day18","Spatial"
"insecta-ant-colony4-day19","Spatial"
"insecta-ant-colony4-day20","ER"
"insecta-ant-colony4-day21","Spatial"
"insecta-ant-colony4-day22","Spatial"
"insecta-ant-colony4-day23","SF"
"insecta-ant-colony4-day24","SF"
"insecta-ant-colony4-day25","SF"
"insecta-ant-colony4-day26","Spatial"
"insecta-ant-colony4-day27","SF"
"insecta-ant-colony4-day28","Spatial"
"insecta-ant-colony4-day29","Spatial"
"insecta-ant-colony4-day30","SF"
"insecta-ant-colony4-day31","SF"
"insecta-ant-colony4-day32","Spatial"
"insecta-ant-colony4-day33","Spatial"
"insecta-ant-colony4-day34","Spatial"
