"graph_name","weight_method","component_mode","baseline_class","n_thresholds_evaluated","n_distinct_predictions","classes_seen","prop_matching_baseline","stable","n_unclassifiable"
"insecta-ant-colony1-day20","adjacency","full_network","Spatial",10,1,"Spatial",0.9,TRUE,1
"insecta-ant-colony1-day21","adjacency","full_network","Spatial",10,1,"Spatial",1,TRUE,0
"insecta-ant-colony1-day22","adjacency","full_network","Spatial",10,1,"Spatial",0.6,TRUE,4
"insecta-ant-colony1-day23","adjacency","full_network","Spatial",10,1,"Spatial",0.4,TRUE,6
"insecta-ant-colony1-day24","adjacency","full_network","Spatial",10,1,"Spatial",0.4,TRUE,6
"insecta-ant-colony1-day25","adjacency","full_network","Spatial",10,1,"Spatial",0.7,TRUE,3
"insecta-ant-colony1-day26","adjacency","full_network","Spatial",10,1,"Spatial",0.6,TRUE,4
"insecta-ant-colony1-day27","adjacency","full_network","Spatial",10,1,"Spatial",0.7,TRUE,3
"insecta-ant-colony1-day28","adjacency","full_network","Spatial",10,1,"Spatial",0.4,TRUE,6
"insecta-ant-colony1-day29","adjacency","full_network","Spatial",10,1,"Spatial",0.5,TRUE,5
"insecta-ant-colony1-day30","adjacency","full_network","Spatial",10,1,"Spatial",0.5,TRUE,5
"insecta-ant-colony1-day31","adjacency","full_network","Spatial",10,1,"Spatial",0.6,TRUE,4
"insecta-ant-colony1-day32","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.8,FALSE,0
"insecta-ant-colony1-day33","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.6,FALSE,3
"insecta-ant-colony1-day34","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.2,FALSE,5
"insecta-ant-colony1-day35","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.5,FALSE,4
"insecta-ant-colony1-day36","adjacency","full_network","Spatial",10,1,"Spatial",0.2,TRUE,8
"insecta-ant-colony1-day37","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,1
"insecta-ant-colony1-day38","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.1,FALSE,7
"insecta-ant-colony1-day39","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.2,FALSE,6
"insecta-ant-colony1-day40","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,0
"insecta-ant-colony1-day41","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.2,FALSE,7
"insecta-ant-colony2","adjacency","full_network","ER",6,3,"ER, Spatial, SW",0.333333333333333,FALSE,1
"insecta-ant-colony2-day01","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.4,FALSE,4
"insecta-ant-colony2-day02","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.2,FALSE,7
"insecta-ant-colony2-day03","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.5,FALSE,2
"insecta-ant-colony2-day04","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.6,FALSE,3
"insecta-ant-colony2-day05","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.4,FALSE,3
"insecta-ant-colony2-day06","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.4,FALSE,5
"insecta-ant-colony2-day07","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,1
"insecta-ant-colony2-day08","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.7,FALSE,1
