"class","precision","recall","f1","support"
"ER",1,0.125,0.222222222222222,8
"sbm",0,0,0,9
"SF",0.426229508196721,0.565217391304348,0.485981308411215,46
"Spatial",0.816,0.84297520661157,0.829268292682927,121
"SW",0.75,0.428571428571429,0.545454545454545,7
