"graph_name","component_mode","0%","10%","20%","30%","40%","50%","60%","70%","80%","90%"
"Chimp_JanSRI_G_Matrix.csv ","largest_component","Spatial",NA,"Spatial","Spatial","Spatial",NA,"SW","SW","SW",NA
"Chimp_Jul_Prob5_MatrixNoNAs.csv ","full_network","Spatial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimp_Jul_Prob5_MatrixNoNAs.csv ","largest_component","Spatial","Spatial","SF","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","sbm"
"Chimp_JulSRI_G_Matrix.csv ","full_network","Spatial",NA,"Spatial",NA,NA,NA,NA,NA,NA,NA
"Chimp_JulSRI_G_Matrix.csv ","largest_component","Spatial","Spatial","Spatial","SW","sbm","Spatial",NA,NA,"SW",NA
"Chimp_Jun_Prob5_MatrixNoNAs.csv ","full_network","Spatial","Spatial","Spatial","SF","Spatial","Spatial","Spatial","SF","SF","SF"
"Chimp_Jun_Prob5_MatrixNoNAs.csv ","largest_component","Spatial","Spatial","Spatial","SF","Spatial","Spatial","Spatial","SF","SF","SF"
"Chimp_Mar_Prob5_MatrixNoNAs.csv ","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA
"Chimp_Mar_Prob5_MatrixNoNAs.csv ","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","Spatial"
"Chimp_MarSRI_G_Matrix.csv ","full_network","Spatial","Spatial",NA,NA,NA,NA,NA,"SW",NA,NA
"Chimp_MarSRI_G_Matrix.csv ","largest_component","Spatial","Spatial","SW","Spatial","SW",NA,NA,"SW",NA,NA
"Chimp_May_Prob5_MatrixNoNAs.csv ","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,"Spatial"
"Chimp_May_Prob5_MatrixNoNAs.csv ","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"Chimp_MaySRI_G_Matrix.csv ","full_network","Spatial","Spatial",NA,NA,NA,NA,"SW",NA,NA,NA
"Chimp_MaySRI_G_Matrix.csv ","largest_component","Spatial","Spatial","SW",NA,"SW","SW","SW",NA,NA,NA
"Domestic_Ddog_matrix1.csv ","full_network","Spatial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Domestic_Ddog_matrix1.csv ","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","sbm","Spatial","SF"
"Domestic_Ddog_matrix2.csv ","full_network","Spatial",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Domestic_Ddog_matrix2.csv ","largest_component","Spatial","Spatial","Spatial","SF","SF","SF","SF","sbm","SF","ER"
"Giraffe_edgelist_matriz.csv ","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA
"Giraffe_edgelist_matriz.csv ","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day01","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"insecta-ant-colony1-day01","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"insecta-ant-colony1-day02","full_network","Spatial","Spatial","Spatial",NA,NA,NA,NA,"Spatial","Spatial",NA
"insecta-ant-colony1-day02","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"insecta-ant-colony1-day03","full_network","Spatial","Spatial","Spatial",NA,NA,NA,NA,NA,NA,NA
"insecta-ant-colony1-day03","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day04","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA
"insecta-ant-colony1-day04","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day05","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA
"insecta-ant-colony1-day05","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"insecta-ant-colony1-day06","full_network","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA,NA,NA
"insecta-ant-colony1-day06","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day07","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA
"insecta-ant-colony1-day07","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day08","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA
"insecta-ant-colony1-day08","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day09","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,"SF"
"insecta-ant-colony1-day09","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day10","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,"SF"
"insecta-ant-colony1-day10","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day11","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA
"insecta-ant-colony1-day11","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"insecta-ant-colony1-day12","full_network","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA,NA
"insecta-ant-colony1-day12","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day13","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA
"insecta-ant-colony1-day13","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"insecta-ant-colony1-day14","full_network","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA,NA
"insecta-ant-colony1-day14","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day15","full_network","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA,NA
"insecta-ant-colony1-day15","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day16","full_network","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA,NA,NA
"insecta-ant-colony1-day16","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day17","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA
"insecta-ant-colony1-day17","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day18","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA
"insecta-ant-colony1-day18","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day19","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA
"insecta-ant-colony1-day19","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day20","full_network","Spatial",NA,"Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"insecta-ant-colony1-day20","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"insecta-ant-colony1-day21","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"insecta-ant-colony1-day21","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"insecta-ant-colony1-day22","full_network","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,"Spatial",NA
"insecta-ant-colony1-day22","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"insecta-ant-colony1-day23","full_network","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA,NA,NA
"insecta-ant-colony1-day23","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day24","full_network","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA,NA,NA
"insecta-ant-colony1-day24","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"insecta-ant-colony1-day25","full_network","Spatial","Spatial","Spatial","Spatial","Spatial",NA,"Spatial","Spatial",NA,NA
"insecta-ant-colony1-day25","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day26","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA
"insecta-ant-colony1-day26","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"insecta-ant-colony1-day27","full_network","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA
"insecta-ant-colony1-day27","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial"
"insecta-ant-colony1-day28","full_network","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA,NA,NA
"insecta-ant-colony1-day28","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
"insecta-ant-colony1-day29","full_network","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA,NA
"insecta-ant-colony1-day29","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF","SF"
"insecta-ant-colony1-day30","full_network","Spatial","Spatial","Spatial","Spatial","Spatial",NA,NA,NA,NA,NA
"insecta-ant-colony1-day30","largest_component","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","Spatial","SF"
