"class","precision","recall","f1","support"
"ER",0.25,0.222222222222222,0.235294117647059,9
"sbm",0,0,0,7
"SF",0.472222222222222,0.693877551020408,0.56198347107438,49
"Spatial",0.881818181818182,0.836206896551724,0.858407079646018,116
"SW",1,0.1,0.181818181818182,10
