"Graph.Name","Captive","Interaction_type","Data_collection","Species","Data_duration_days","Class","target","Predicted_classes"
"Badger-Summer4.csv ","No","Spatial_proximity","RFID","Meles_meles",90,"Mammalia","Badger-Summer4.csv ","Geometric Graphs"
"Badger-Winter2.csv ","No","Spatial_proximity","RFID","Meles_meles",90,"Mammalia","Badger-Winter2.csv ","Geometric Graphs"
"Badger-Winter3.csv ","No","Spatial_proximity","RFID","Meles_meles",90,"Mammalia","Badger-Winter3.csv ","Geometric Graphs"
"Badger-Winter4.csv ","No","Spatial_proximity","RFID","Meles_meles",90,"Mammalia","Badger-Winter4.csv ","Geometric Graphs"
"Chimp--AugSRI-G-Matrix.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp--AugSRI-G-Matrix.csv ","Geometric Graphs"
"Chimp--DecSRI-G-Matrix.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp--DecSRI-G-Matrix.csv ","Geometric Graphs"
"Chimp--JunSRI-G-Matrix.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp--JunSRI-G-Matrix.csv ","Geometric Graphs"
"Chimp-Apr-Prob5-MatrixNoNAs.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp-Apr-Prob5-MatrixNoNAs.csv ","Scale-Free"
"Chimp-AprSRI-G-Matrix.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp-AprSRI-G-Matrix.csv ","Geometric Graphs"
"Chimp-Aug-Prob5-MatrixNoNAs.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp-Aug-Prob5-MatrixNoNAs.csv ","Scale-Free"
"Chimp-Dec-Prob5-MatrixNoNAs.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp-Dec-Prob5-MatrixNoNAs.csv ","Geometric Graphs"
"Chimp-Feb-Prob5-MatrixNoNAs.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp-Feb-Prob5-MatrixNoNAs.csv ","Geometric Graphs"
"Chimp-FebSRI-G-Matrix.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp-FebSRI-G-Matrix.csv ","Geometric Graphs"
"Chimp-Jan-Prob5-MatrixNoNAs.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp-Jan-Prob5-MatrixNoNAs.csv ","Geometric Graphs"
"Chimp-JanSRI-G-Matrix.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp-JanSRI-G-Matrix.csv ","Geometric Graphs"
"Chimp-Jul-Prob5-MatrixNoNAs.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp-Jul-Prob5-MatrixNoNAs.csv ","Geometric Graphs"
"Chimp-JulSRI-G-Matrix.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp-JulSRI-G-Matrix.csv ","Geometric Graphs"
"Chimp-Jun-Prob5-MatrixNoNAs.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp-Jun-Prob5-MatrixNoNAs.csv ","Geometric Graphs"
"Chimp-Mar-Prob5-MatrixNoNAs.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp-Mar-Prob5-MatrixNoNAs.csv ","Geometric Graphs"
"Chimp-MarSRI-G-Matrix.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp-MarSRI-G-Matrix.csv ","Geometric Graphs"
"Chimp-May-Prob5-MatrixNoNAs.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp-May-Prob5-MatrixNoNAs.csv ","Geometric Graphs"
"Chimp-MaySRI-G-Matrix.csv ","No","Spatial_proximity","focal_sampling","Pan_troglodytes",30,"Mammalia","Chimp-MaySRI-G-Matrix.csv ","Geometric Graphs"
"Domestic-Ddog-matrix1.csv ","No","Spatial_proximity","RFID","Canis_familiaris",12,"Mammalia","Domestic-Ddog-matrix1.csv ","Geometric Graphs"
"Domestic-Ddog-matrix2.csv ","No","Spatial_proximity","RFID","Canis_familiaris",12,"Mammalia","Domestic-Ddog-matrix2.csv ","Geometric Graphs"
"Giraffe-edgelist-matriz.csv ","No","Group_membership","survey_scan","Giraffa_camelopardalis",180,"Mammalia","Giraffe-edgelist-matriz.csv ","Geometric Graphs"
"insecta-ant-colony1-day01","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day01","Geometric Graphs"
"insecta-ant-colony1-day02","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day02","Geometric Graphs"
"insecta-ant-colony1-day03","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day03","Geometric Graphs"
"insecta-ant-colony1-day04","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day04","Geometric Graphs"
"insecta-ant-colony1-day05","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day05","Geometric Graphs"
"insecta-ant-colony1-day06","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony1-day06","Geometric Graphs"
