,GraphNames,order,edges,connected,max_component,minDegree,maxDegree,mean_degree,minCut,FiedlerValue,Normalized_FiedlerValue,closeness_centr,modularity,diameter,betw_centr,transitivity,threshold,spectral_radius,eigen_centr,deg_centr,mean_eccentr,radius,mean_path_length,graph_energy,min_triangle,mean_triangle,sd_triangle,max_triangle,num_triangle,deg_assort_coef
716,mammalia-voles-plj-trapping-57,4,3,1,4,1,2,1.5,1,0.585786438,0.5,0.208333333,0.166666667,3,0.444444444,0,0.618033989,1.618033989,0.381966011,0.166666667,2.5,2,1.666666667,4.472135955,0,0,0,0,0,-0.5
717,mammalia-voles-plj-trapping-58,2,1,1,2,1,1,1,1,2,2,1,0,1,NaN,NaN,1,1,NaN,0,1,1,1,2,0,0,0,0,0,NaN
718,mammalia-voles-plj-trapping-59,26,49,1,26,2,7,3.769230769,1,0.106356167,0.030235958,0.012220324,0.548729696,7,0.415333333,0.588957055,0.210616562,4.747964696,0.716583176,0.129230769,5.615384615,4,3.415384615,42.2291886,1,3.692307692,2.649818571,9,96,0.229105211
719,mammalia-voles-plj-trapping-60,31,62,1,31,1,8,4,1,0.153678705,0.040031391,0.010996771,0.581815817,6,0.391505747,0.551020408,0.189686126,5.271866842,0.765077996,0.133333333,5.032258065,3,3.122580645,50.31980172,0,4.35483871,3.564158499,11,135,-0.072773537
720,mammalia-voles-plj-trapping-61,36,62,1,36,1,6,3.444444444,1,0.048153641,0.014028509,0.006208817,0.700832466,11,0.519663866,0.573770492,0.232817172,4.29521582,0.85309786,0.073015873,8.666666667,6,4.793650794,54.60599382,0,2.916666667,2.089087292,7,105,-0.124035182
721,mammalia-voles-plj-trapping-62,9,12,1,9,1,7,2.666666667,1,0.558174445,0.326316196,0.071950889,0.236111111,3,0.734375,0.375,0.300736315,3.32517209,0.647315367,0.541666667,2.666666667,2,1.805555556,11.91315884,0,1.333333333,1.118033989,4,12,-0.421965318
722,mammalia-voles-plj-trapping-63,5,4,1,5,1,3,1.6,1,0.518805696,0.422649731,0.145555556,0.21875,3,0.708333333,0,0.5411961,1.847759065,0.579342458,0.35,2.6,2,1.8,5.22625186,0,0,0,0,0,-0.666666667
723,mammalia-voles-plj-trapping-64,2,1,1,2,1,1,1,1,2,2,1,0,1,NaN,NaN,1,1,NaN,0,1,1,1,2,0,0,0,0,0,NaN
724,mammalia-voles-plj-trapping,765,2450,1,765,1,35,6.405228758,1,0.012427741,0.002654594,0.000225159,0.693472387,19,0.254840314,0.334629035,0.070085615,14.26826309,0.957914652,0.037427711,13.14640523,10,6.071693529,1416.654576,0,10.35294118,14.97208161,126,7920,0.160648626
725,mammalia-voles-rob-trapping-02,20,27,1,20,1,6,2.7,1,0.044862749,0.017300132,0.012040667,0.586419753,11,0.357032933,0.442622951,0.28884236,3.462096075,0.827279087,0.173684211,8.8,6,4.526315789,27.56259364,0,1.35,1.348488433,4,27,-0.082598236
